indice,codigo,severidad,hoja_rem,hoja_sistema,seccion,validacion,celda,valor,tipo,estado
"13","VAL-005","REVISAR","REM01","A01","A",">0","O32","1","n","OK"
"24","VAL-006","ERROR","REM01","A01","A,B","SUMA(C19:C26)+SUMA(F36:F38)=C89","C19","0","n","OK"
"25","VAL-006","ERROR","REM01","A01","A,B","SUMA(C19:C26)+SUMA(F36:F38)=C89","C20","1","n","OK"
"26","VAL-006","ERROR","REM01","A01","A,B","SUMA(C19:C26)+SUMA(F36:F38)=C89","C21","0","n","OK"
"27","VAL-006","ERROR","REM01","A01","A,B","SUMA(C19:C26)+SUMA(F36:F38)=C89","C22","3","n","OK"
"28","VAL-006","ERROR","REM01","A01","A,B","SUMA(C19:C26)+SUMA(F36:F38)=C89","C23","0","n","OK"
"29","VAL-006","ERROR","REM01","A01","A,B","SUMA(C19:C26)+SUMA(F36:F38)=C89","C24","0","n","OK"
"30","VAL-006","ERROR","REM01","A01","A,B","SUMA(C19:C26)+SUMA(F36:F38)=C89","C25","0","n","OK"
"31","VAL-006","ERROR","REM01","A01","A,B","SUMA(C19:C26)+SUMA(F36:F38)=C89","C26","0","n","OK"
"35","VAL-006","ERROR","REM05","A05","E","SUMA(C19:C26)+SUMA(F36:F38)=C89","C89","4","n","OK"
"37","VAL-007","ERROR","REM01","A01","B,D","SUMA(T36:T38)>=C74","T37","1","n","OK"
"38","VAL-007","ERROR","REM01","A01","B,D","SUMA(T36:T38)>=C74","T38","11","n","OK"
"39","VAL-007","ERROR","REM01","A01","B,D","SUMA(T36:T38)>=C74","C74","12","n","OK"
"41","VAL-008","ERROR","REM01","A01","B,D","SUMA(U36:U38)>=F74","U37","2","n","OK"
"42","VAL-008","ERROR","REM01","A01","B,D","SUMA(U36:U38)>=F74","U38","5","n","OK"
"43","VAL-008","ERROR","REM01","A01","B,D","SUMA(U36:U38)>=F74","F74","7","n","OK"
"46","VAL-010","REVISAR","REM01","A01","B","SUMA(O36:O37)>=L20+M20","O37","9","n","OK"
"47","VAL-010","REVISAR","REM03","A03","A.2","SUMA(O36:O37)>=L20+M20","L20","4","n","OK"
"48","VAL-010","REVISAR","REM03","A03","A.2","SUMA(O36:O37)>=L20+M20","M20","5","n","OK"
"50","VAL-011","REVISAR","REM01","A01","B","SUMA(P36:P37)>=N20+O20","P37","26","n","OK"
"51","VAL-011","REVISAR","REM03","A03","A.2","SUMA(P36:P37)>=N20+O20","N20","9","n","OK"
"52","VAL-011","REVISAR","REM03","A03","A.2","SUMA(P36:P37)>=N20+O20","O20","7","n","OK"
"53","VAL-012","ERROR","REM02","A02","A","B11=B21","B11","154","n","OK"
"54","VAL-012","ERROR","REM02","A02","B","B11=B21","B21","154","n","OK"
"55","VAL-013","ERROR","REM02","A02","A","C11=C21","C11","57","n","OK"
"56","VAL-013","ERROR","REM02","A02","B","C11=C21","C21","57","n","OK"
"57","VAL-014","REVISAR","REM02","A02","A",">0","B17","0","n","OK"
"58","VAL-015","ERROR","REM02","A02","A","B11=C108+C110","B11","154","n","OK"
"59","VAL-015","ERROR","REM03","A03","D.1","B11=C108+C110","C108","154","n","OK"
"60","VAL-015","ERROR","REM03","A03","D.1","B11=C108+C110","C110","0","n","OK"
"61","VAL-016","ERROR","REM02","A02","A","E11+F11=C113","E11","0","n","OK"
"62","VAL-016","ERROR","REM02","A02","A","E11+F11=C113","F11","0","n","OK"
"63","VAL-016","ERROR","REM03","A03","D.1","E11+F11=C113","C113","0","n","OK"
"64","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C20","31","n","OK"
"65","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C21","23","n","OK"
"66","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C22","0","n","OK"
"67","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C23","3","n","OK"
"68","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C24","1","n","OK"
"69","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C25","2","n","OK"
"70","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C26","2","n","OK"
"71","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C27","0","n","OK"
"72","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C28","0","n","OK"
"73","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C29","0","n","OK"
"74","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C30","0","n","OK"
"75","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C31","0","n","OK"
"76","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C32","0","n","OK"
"77","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C33","0","n","OK"
"78","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C34","0","n","OK"
"79","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C35","0","n","OK"
"80","VAL-017","ERROR","REM03","A03","A.2","C20=SUMA(C21:C36)","C36","0","n","OK"
"81","VAL-018","ERROR","REM03","A03","A1","C13=C14+C15","C13","29","n","OK"
"82","VAL-018","ERROR","REM03","A03","A1","C13=C14+C15","C14","26","n","OK"
"83","VAL-018","ERROR","REM03","A03","A1","C13=C14+C15","C15","3","n","OK"
"84","VAL-019","ERROR","REM03","A03","A4","C54=SUMA(C55:C57)","C54","4","n","OK"
"85","VAL-019","ERROR","REM03","A03","A4","C54=SUMA(C55:C57)","C55","3","n","OK"
"86","VAL-019","ERROR","REM03","A03","A4","C54=SUMA(C55:C57)","C56","1","n","OK"
"87","VAL-019","ERROR","REM03","A03","A4","C54=SUMA(C55:C57)","C57","0","n","OK"
"88","VAL-020","ERROR","REM03","A03","A2","C22=B46","C22","0","n","OK"
"89","VAL-020","ERROR","REM03","A03","A3","C22=B46","B46","0","n","OK"
"90","VAL-021","ERROR","REM03","A03","A2","C23=B47","C23","3","n","OK"
"91","VAL-021","ERROR","REM03","A03","A3","C23=B47","B47","3","n","OK"
"92","VAL-022","ERROR","REM03","A03","A2","C24=B48","C24","1","n","OK"
"93","VAL-022","ERROR","REM03","A03","A3","C24=B48","B48","1","n","OK"
"94","VAL-023","ERROR","REM03","A03","B.2","B86=C11","B86","4","n","OK"
"95","VAL-023","ERROR","REM05","A05","A","B86=C11","C11","4","n","OK"
"96","VAL-024","ERROR","REM03","A03","B3","C92<=H36+H37","C92","13","n","OK"
"98","VAL-024","ERROR","REM01","A01","B","C92<=H36+H37","H37","13","n","OK"
"99","VAL-025","ERROR","REM03","A03","B3","C93<=L36+L37","C93","6","n","OK"
"101","VAL-025","ERROR","REM01","A01","B","C93<=L36+L37","L37","6","n","OK"
"102","VAL-026","ERROR","REM03","A03","C","C97=SUMA(T36:U38)","C97","19","n","OK"
"104","VAL-026","ERROR","REM01","A01","B","C97=SUMA(T36:U38)","T37","1","n","OK"
"105","VAL-026","ERROR","REM01","A01","B","C97=SUMA(T36:U38)","T38","11","n","OK"
"107","VAL-026","ERROR","REM01","A01","B","C97=SUMA(T36:U38)","U37","2","n","OK"
"108","VAL-026","ERROR","REM01","A01","B","C97=SUMA(T36:U38)","U38","5","n","OK"
"109","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C108","154","n","OK"
"110","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C109","33","n","OK"
"111","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C110","0","n","OK"
"112","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C111","0","n","OK"
"113","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C112","19","n","OK"
"114","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C113","0","n","OK"
"115","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C114","0","n","OK"
"116","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C115","202","n","OK"
"117","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C116","1","n","OK"
"118","VAL-027","ERROR","REM03","A03","D.1","SUMA(C108:C114)=SUMA(C115:C117)","C117","4","n","OK"
"119","VAL-028","ERROR","REM03","A03","E","C213=C214+C215","C213","51","n","OK"
"120","VAL-028","ERROR","REM03","A03","E","C213=C214+C215","C214","0","n","OK"
"121","VAL-028","ERROR","REM03","A03","E","C213=C214+C215","C215","51","n","OK"
"122","VAL-029","ERROR","REM03","A03","A.5","SUMA(C61:C66)=C67","C61","25","n","OK"
"123","VAL-029","ERROR","REM03","A03","A.5","SUMA(C61:C66)=C67","C62","7","n","OK"
"124","VAL-029","ERROR","REM03","A03","A.5","SUMA(C61:C66)=C67","C63","1","n","OK"
"125","VAL-029","ERROR","REM03","A03","A.5","SUMA(C61:C66)=C67","C64","8","n","OK"
"126","VAL-029","ERROR","REM03","A03","A.5","SUMA(C61:C66)=C67","C65","4","n","OK"
"127","VAL-029","ERROR","REM03","A03","A.5","SUMA(C61:C66)=C67","C66","9","n","OK"
"128","VAL-029","ERROR","REM03","A03","A.5","SUMA(C61:C66)=C67","C67","54","n","OK"
"129","VAL-030","ERROR","REM04","A04","B","SUMA(B39:B41)=SUMA(B135:B137)","B39","7","n","OK"
"130","VAL-030","ERROR","REM04","A04","B","SUMA(B39:B41)=SUMA(B135:B137)","B40","82","n","OK"
"131","VAL-030","ERROR","REM04","A04","B","SUMA(B39:B41)=SUMA(B135:B137)","B41","5","n","OK"
"132","VAL-030","ERROR","REM04","A04","K","SUMA(B39:B41)=SUMA(B135:B137)","B135","5","n","OK"
"133","VAL-030","ERROR","REM04","A04","K","SUMA(B39:B41)=SUMA(B135:B137)","B136","82","n","OK"
"134","VAL-030","ERROR","REM04","A04","K","SUMA(B39:B41)=SUMA(B135:B137)","B137","7","n","OK"
"135","VAL-031","ERROR","REM04","A04","L","SUMA(C141:C143)=SUMA(C146:C149)","C141","5","n","OK"
"136","VAL-031","ERROR","REM04","A04","L","SUMA(C141:C143)=SUMA(C146:C149)","C142","6","n","OK"
"137","VAL-031","ERROR","REM04","A04","L","SUMA(C141:C143)=SUMA(C146:C149)","C143","9","n","OK"
"138","VAL-031","ERROR","REM04","A04","L","SUMA(C141:C143)=SUMA(C146:C149)","C146","0","n","OK"
"139","VAL-031","ERROR","REM04","A04","L","SUMA(C141:C143)=SUMA(C146:C149)","C147","0","n","OK"
"140","VAL-031","ERROR","REM04","A04","L","SUMA(C141:C143)=SUMA(C146:C149)","C148","12","n","OK"
"141","VAL-031","ERROR","REM04","A04","L","SUMA(C141:C143)=SUMA(C146:C149)","C149","8","n","OK"
"142","VAL-032","ERROR","REM04","A04","I.1","C114+D114=E114+F114","C114","3873","n","OK"
"144","VAL-032","ERROR","REM04","A04","I.1","C114+D114=E114+F114","E114","3845","n","OK"
"145","VAL-032","ERROR","REM04","A04","I.1","C114+D114=E114+F114","F114","28","n","OK"
"146","VAL-033","ERROR","REM04","A04","I.1","C115+D115=E115+F115","C115","491","n","OK"
"148","VAL-033","ERROR","REM04","A04","I.1","C115+D115=E115+F115","E115","485","n","OK"
"149","VAL-033","ERROR","REM04","A04","I.1","C115+D115=E115+F115","F115","6","n","OK"
"150","VAL-034","ERROR","REM04","A04","I.1","C116+D116=E116+F116","C116","62","n","OK"
"152","VAL-034","ERROR","REM04","A04","I.1","C116+D116=E116+F116","E116","59","n","OK"
"153","VAL-034","ERROR","REM04","A04","I.1","C116+D116=E116+F116","F116","3","n","OK"
"154","VAL-035","ERROR","REM04","A04","I.1","M114>=L114","M114","1882","n","OK"
"155","VAL-035","ERROR","REM04","A04","I.1","M114>=L114","L114","1882","n","OK"
"168","VAL-037","ERROR","REM05","A05","H","C119<=SUMA(C120:C127)","C119","20","n","OK"
"169","VAL-037","ERROR","REM05","A05","H","C119<=SUMA(C120:C127)","C120","15","n","OK"
"170","VAL-037","ERROR","REM05","A05","H","C119<=SUMA(C120:C127)","C121","12","n","OK"
"171","VAL-037","ERROR","REM05","A05","H","C119<=SUMA(C120:C127)","C122","8","n","OK"
"172","VAL-037","ERROR","REM05","A05","H","C119<=SUMA(C120:C127)","C123","1","n","OK"
"173","VAL-037","ERROR","REM05","A05","H","C119<=SUMA(C120:C127)","C124","0","n","OK"
"174","VAL-037","ERROR","REM05","A05","H","C119<=SUMA(C120:C127)","C125","0","n","OK"
"175","VAL-037","ERROR","REM05","A05","H","C119<=SUMA(C120:C127)","C126","1","n","OK"
"176","VAL-037","ERROR","REM05","A05","H","C119<=SUMA(C120:C127)","C127","0","n","OK"
"203","VAL-038","ERROR","REM05","A05","J","SUMA(AF146:AM150)>=C162","AH149","1","n","OK"
"206","VAL-038","ERROR","REM05","A05","J","SUMA(AF146:AM150)>=C162","AK149","1","n","OK"
"215","VAL-038","ERROR","REM05","A05","J","SUMA(AF146:AM150)>=C162","AL150","2","n","OK"
"216","VAL-038","ERROR","REM05","A05","J","SUMA(AF146:AM150)>=C162","AM150","2","n","OK"
"217","VAL-038","ERROR","REM05","A05","K","SUMA(AF146:AM150)>=C162","C162","0","n","OK"
"218","VAL-039","REVISAR","REM05","A05","N","C193=C204","C193","12","n","OK"
"219","VAL-039","REVISAR","REM05","A05","N","C193=C204","C204","12","n","OK"
"220","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C204","12","n","OK"
"221","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C205","2","n","OK"
"222","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C206","1","n","OK"
"223","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C207","0","n","OK"
"224","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C208","0","n","OK"
"225","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C209","0","n","OK"
"226","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C210","0","n","OK"
"227","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C211","0","n","OK"
"228","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C212","0","n","OK"
"229","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C213","0","n","OK"
"230","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C214","1","n","OK"
"231","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C215","0","n","OK"
"232","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C216","0","n","OK"
"233","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C217","0","n","OK"
"234","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C218","1","n","OK"
"235","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C219","0","n","OK"
"236","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C220","0","n","OK"
"237","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C221","1","n","OK"
"238","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C222","0","n","OK"
"239","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C223","0","n","OK"
"240","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C224","0","n","OK"
"241","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C225","1","n","OK"
"242","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C226","1","n","OK"
"243","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C227","1","n","OK"
"244","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C228","0","n","OK"
"245","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C229","0","n","OK"
"246","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C230","0","n","OK"
"247","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C231","0","n","OK"
"248","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C232","0","n","OK"
"249","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C233","1","n","OK"
"250","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C234","2","n","OK"
"251","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C235","0","n","OK"
"252","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C236","0","n","OK"
"253","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C237","0","n","OK"
"254","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C238","0","n","OK"
"255","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C239","0","n","OK"
"256","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C240","0","n","OK"
"257","VAL-040","ERROR","REM05","A05","N","C204<=SUMA(C205:C241)","C241","0","n","OK"
"258","VAL-041","REVISAR","REM05","A05","R",">0","C329","0","n","OK"
"260","VAL-041","REVISAR","REM05","A05","R",">0","E329","0","n","OK"
"261","VAL-041","REVISAR","REM05","A05","R",">0","C330","0","n","OK"
"262","VAL-041","REVISAR","REM05","A05","R",">0","D330","0","n","OK"
"263","VAL-041","REVISAR","REM05","A05","R",">0","E330","0","n","OK"
"264","VAL-041","REVISAR","REM05","A05","R",">0","C331","0","n","OK"
"265","VAL-041","REVISAR","REM05","A05","R",">0","D331","0","n","OK"
"266","VAL-041","REVISAR","REM05","A05","R",">0","E331","0","n","OK"
"267","VAL-041","REVISAR","REM05","A05","R",">0","C332","0","n","OK"
"268","VAL-041","REVISAR","REM05","A05","R",">0","D332","0","n","OK"
"269","VAL-041","REVISAR","REM05","A05","R",">0","E332","0","n","OK"
"270","VAL-041","REVISAR","REM05","A05","R",">0","C333","0","n","OK"
"271","VAL-041","REVISAR","REM05","A05","R",">0","D333","0","n","OK"
"272","VAL-041","REVISAR","REM05","A05","R",">0","E333","0","n","OK"
"273","VAL-041","REVISAR","REM05","A05","R",">0","C334","0","n","OK"
"274","VAL-041","REVISAR","REM05","A05","R",">0","D334","0","n","OK"
"275","VAL-041","REVISAR","REM05","A05","R",">0","E334","0","n","OK"
"276","VAL-041","REVISAR","REM05","A05","R",">0","C335","0","n","OK"
"277","VAL-041","REVISAR","REM05","A05","R",">0","D335","0","n","OK"
"278","VAL-041","REVISAR","REM05","A05","R",">0","E335","0","n","OK"
"279","VAL-041","REVISAR","REM05","A05","R",">0","C336","0","n","OK"
"280","VAL-041","REVISAR","REM05","A05","R",">0","D336","0","n","OK"
"281","VAL-041","REVISAR","REM05","A05","R",">0","E336","0","n","OK"
"282","VAL-041","REVISAR","REM05","A05","R",">0","C337","0","n","OK"
"283","VAL-041","REVISAR","REM05","A05","R",">0","D337","0","n","OK"
"284","VAL-041","REVISAR","REM05","A05","R",">0","E337","0","n","OK"
"285","VAL-041","REVISAR","REM05","A05","R",">0","C338","0","n","OK"
"286","VAL-041","REVISAR","REM05","A05","R",">0","D338","0","n","OK"
"287","VAL-041","REVISAR","REM05","A05","R",">0","E338","0","n","OK"
"288","VAL-041","REVISAR","REM05","A05","R",">0","C339","0","n","OK"
